latency_budget_ms,peak_memory_budget_bytes,ilp_risk_reduction,greedy_risk_reduction,topk_dmr_risk_reduction,bounded_loss_risk_reduction,robust_mean_risk_reduction,robust_lower_bound_objective,risk_retention_vs_ilp,ilp_peak_extra_memory_bytes,robust_peak_extra_memory_bytes,memory_saving_ratio_vs_ilp,robust_latency_ms,robust_selected_count,decision,reason
5.0,1048576,0.009936135147734334,0.009936135147734334,0.0005027799364257295,0.009936120117692888,0.009676608764936416,0.0067918495367301195,0.9738805502401912,80,0,1.0,4.996992230473438,8,adopt_as_main,risk retention and memory saving pass the robust low-memory optimization thresholds
10.0,1048576,0.013488408167267613,0.01321578111520576,0.0009049918615331566,0.013440162842747612,0.013440162842747612,0.008836291414172413,0.9964232010240408,802816,0,1.0,9.990448809812925,18,adopt_as_main,risk retention and memory saving pass the robust low-memory optimization thresholds
20.0,1048576,0.014269768719437989,0.014172233736223908,0.0013574802772790113,0.013594039063840536,0.013594039063840536,0.008868522316592334,0.9526460681400541,802816,0,1.0,10.277520733067913,20,adopt_as_main,risk retention and memory saving pass the robust low-memory optimization thresholds
40.0,1048576,0.014643795650048561,0.014385908821437225,0.0016214318531307603,0.014643795650048561,0.013594039063840536,0.008868522316592334,0.9283139008973712,802816,0,1.0,10.277520733067913,20,keep_as_ablation,low-memory tradeoff exists but below main threshold
80.0,1048576,0.014782055999304237,0.014411047066756439,0.0016717083437691887,0.014782040969262791,0.013594039063840536,0.008868522316592334,0.9196311436298429,802816,0,1.0,10.277520733067913,20,keep_as_ablation,low-memory tradeoff exists but below main threshold
160.0,1048576,0.014782055999304237,0.014411047066756439,0.0016717083437691887,0.014782040969262791,0.013594039063840536,0.008868522316592334,0.9196311436298429,802816,0,1.0,10.277520733067913,20,keep_as_ablation,low-memory tradeoff exists but below main threshold
5.0,4194304,0.010954087852375855,0.010954087852375852,0.0021116276368554412,0.010501883753996603,0.009676608764936416,0.0067918495367301195,0.8833787801727039,3211264,0,1.0,4.996992230473438,8,reject,insufficient risk retention or memory saving
10.0,4194304,0.015092857011427482,0.015090825845309052,0.00573151993278084,0.014366533385128154,0.015012435583476919,0.009673897908460918,0.9946715570226583,3211264,3211264,0.0,9.975485227079616,18,reject,insufficient risk retention or memory saving
20.0,4194304,0.01839745598107787,0.017644190501207465,0.009653101232619704,0.018397440951036424,0.018321698682794204,0.011415473267636225,0.9958821861913092,3211264,3211264,0.0,19.963953488434015,27,reject,insufficient risk retention or memory saving
40.0,4194304,0.020707916045800096,0.019378729428233238,0.012166925764541123,0.020707916045800096,0.020373306694419745,0.012331076023515034,0.9838414763397587,3211264,3211264,0.0,39.95170646617222,32,reject,insufficient risk retention or memory saving
80.0,4194304,0.022366763063157505,0.020019754683873202,0.014429367843270402,0.022366763063157505,0.02187553666633217,0.012809670731534443,0.9780376626050785,3211264,3211264,0.0,78.08209246747258,42,reject,insufficient risk retention or memory saving
160.0,4194304,0.022566853442652007,0.020019754683873202,0.014542489947206864,0.022566838412610563,0.021913244034310993,0.012818817469281957,0.9710367504268153,3211264,3211264,0.0,85.18804297316427,44,reject,insufficient risk retention or memory saving
5.0,8388608,0.010954087852375855,0.010954087852375852,0.006033193906652856,0.010501883753996603,0.010288855846966864,0.006989536415056165,0.9392708900664233,3211264,1605632,0.5,4.984748131261721,9,keep_as_ablation,low-memory tradeoff exists but below main threshold
10.0,8388608,0.01557732639270448,0.015571247924390644,0.008044238502148549,0.015092841981386036,0.015451740118346732,0.010216279461630057,0.9919378800192203,6422528,6422528,0.0,9.993118236456255,15,reject,insufficient risk retention or memory saving
20.0,8388608,0.02127766579183979,0.019512110272313112,0.014881841228974816,0.02127766579183979,0.02122838985421913,0.013659788252038181,0.9976841474011892,6422528,6422528,0.0,19.938448524448525,24,reject,insufficient risk retention or memory saving
40.0,8388608,0.024752168808223257,0.02157344638848867,0.022926094761164802,0.024744044143749554,0.024539876401976756,0.015757433526094995,0.9914232806065878,6422528,6422528,0.0,39.926399333287314,29,reject,insufficient risk retention or memory saving
80.0,8388608,0.027378610931843364,0.022289886380086277,0.02724987295606965,0.02737859590180192,0.026974352810576068,0.01661107356186705,0.9852345277021665,6422528,6422528,0.0,79.47222450564223,41,reject,insufficient risk retention or memory saving
160.0,8388608,0.027815483475751968,0.022289886380086277,0.027815483475751964,0.027815468445710523,0.027161874067410954,0.01665646714028915,0.9765019576628681,6422528,6422528,0.0,97.17811022087736,45,reject,insufficient risk retention or memory saving
