runtime_node_id,tensor_id,always_dmr_risk_reduction,gated_dmr_risk_reduction,always_dmr_latency_ms,gated_dmr_expected_latency_ms,latency_reduction,recovery_retention,always_dmr_extra_memory_bytes,gated_dmr_peak_extra_memory_bytes,decision,reason
3,112,0.0015082947191528539,0.001200769615494056,4.725838906251542,0.384771914047934,0.9185812462758853,0.7961107336956521,1605632,1605632,keep_as_ablation,partial gain but below the main-method threshold
0,109,0.005228755026396558,0.004036066367990883,7.63205385695289,1.2084340009231007,0.84166332895801,0.7718981569447083,6422528,6422528,keep_as_ablation,partial gain but below the main-method threshold
4,113,0.002815483475751992,0.0018178483185382183,2.5479153325977273,1.0581022098999326,0.5847184573354153,0.6456611570247934,6422528,6422528,keep_as_ablation,partial gain but below the main-method threshold
2,111,0.000703870868937998,0.0004544620796345546,0.6178408610490292,0.263303409463218,0.5738329623972162,0.6456611570247934,1605632,1605632,keep_as_ablation,partial gain but below the main-method threshold
25,134,0.000351935434468999,0.0002272310398172773,3.6287827399172397,0.2803419614026621,0.9227449033200991,0.6456611570247934,802816,802816,keep_as_ablation,partial gain but below the main-method threshold
40,149,0.0006033178876611416,0.0003678169531343328,0.23059457594435523,0.2560052926216281,-0.11019650645817758,0.6096569663469354,1605632,1605632,reject,latency saving or recovery retention is too low
19,128,0.0010055298127685677,0.0005686356614009727,0.6822863834763176,0.525221229571626,0.23020414551500934,0.5655085052479191,3211264,3211264,reject,latency saving or recovery retention is too low
8,117,0.0005027649063842839,0.00028431783070048634,4.811911355800236,0.38731697166908674,0.9195087059942992,0.5655085052479191,1605632,1605632,reject,latency saving or recovery retention is too low
34,143,0.0005027649063842839,0.00028431783070048634,1.397662796395364,0.28636179539392714,0.7951138170576857,0.5655085052479191,1605632,1605632,reject,latency saving or recovery retention is too low
36,145,0.0005027649063842839,0.00028431783070048634,0.22746649873738709,0.2517605144821495,-0.10680260996503987,0.5655085052479191,1605632,1605632,reject,latency saving or recovery retention is too low
5,114,0.001608847700429709,0.0008206731791622674,2.4721695900841563,1.0558625004427857,0.57290045768792,0.5100999795960008,6422528,6422528,reject,latency saving or recovery retention is too low
6,115,0.001608847700429709,0.0008206731791622674,1.4680960219905532,1.1488881363344272,0.21742984169613122,0.5100999795960008,6422528,6422528,reject,latency saving or recovery retention is too low
18,127,0.0008044238502148545,0.0004103365895811337,3.344997727386245,0.5849544345290515,0.8251256107769824,0.5100999795960008,3211264,3211264,reject,latency saving or recovery retention is too low
22,131,0.0008044238502148545,0.0004103365895811337,1.7496783518324912,0.7186133967268308,0.5892882849157932,0.5100999795960008,3211264,3211264,reject,latency saving or recovery retention is too low
17,126,0.0008044238502148545,0.0004103365895811337,1.70656108201559,0.6030181566722904,0.6466471882974878,0.5100999795960008,3211264,3211264,reject,latency saving or recovery retention is too low
31,140,0.0008044238502148545,0.0004103365895811337,0.6931555694253108,0.506542688034089,0.2692222202671486,0.5100999795960008,3211264,3211264,reject,latency saving or recovery retention is too low
16,125,0.00020110596255371363,0.00010258414739528343,4.298409560952077,0.3635719205780039,0.9154171059266222,0.5100999795960008,802816,802816,reject,latency saving or recovery retention is too low
64,173,0.00020110596255371363,0.00010258414739528343,1.79709419057627,0.17489331197062144,0.9026799413810699,0.5100999795960008,802816,802816,reject,latency saving or recovery retention is too low
33,142,0.00010055298127685682,5.1292073697641715e-05,3.5526421498778795,0.21616504330289288,0.9391537244159749,0.5100999795960008,401408,401408,reject,latency saving or recovery retention is too low
10,119,0.0012066357753222831,0.0005291024505915063,1.5476927112035512,1.0285268438126869,0.3354450554898194,0.43849391955098227,6422528,6422528,reject,latency saving or recovery retention is too low
