model,variant,top1_node,top10_nodes,top10_mean_score,top10_mean_critical_component,top10_activation_bytes
resnet50_eurosat,critical_only,3,"3,0,4,2,25,40,19,8,34,36",0.062499999999999965,0.062499999999999965,13246464
resnet50_eurosat,severity_only,3,"3,0,25,2,4,40,8,34,36,19",0.06154037373064107,0.062499999999999965,13246464
resnet50_eurosat,exposure_only,0,"0,4,14,10,5,6,13,9,15,18",0.0434388879116022,0.03249999999999997,28901376
resnet50_eurosat,no_exposure,3,"3,0,25,2,4,40,8,34,36,19",0.06223130464457947,0.062499999999999965,13246464
resnet50_eurosat,full_score,3,"3,0,4,2,25,40,19,8,34,36",0.05800104246194201,0.062499999999999965,13246464
yolov10n_dior_full_e30_b16,critical_only,44,"44,157,18,167,138,4,58,102,25,42",0.18125,0.18125,7894400
yolov10n_dior_full_e30_b16,severity_only,44,"44,157,18,167,42,43,66,4,25,58",0.17504908267398295,0.175,7452800
yolov10n_dior_full_e30_b16,exposure_only,0,"0,78,7,8,18,77,20,2,1,70",0.028452516080211883,0.04375,38502400
yolov10n_dior_full_e30_b16,no_exposure,44,"44,157,18,167,138,42,43,66,4,25",0.17845000720624088,0.18125,6204800
yolov10n_dior_full_e30_b16,full_score,44,"44,157,18,167,138,4,58,102,25,42",0.16120787717547422,0.18125,7894400
