repeat,spearman_vs_full,highest_risk_node,top5_jaccard_vs_full,top5_overlap_vs_full,top10_jaccard_vs_full,top10_overlap_vs_full,top20_jaccard_vs_full,top20_overlap_vs_full
0,0.9479208236890415,56,0.6666666666666666,0.8,0.8181818181818182,0.9,0.7391304347826086,0.85
1,0.9153164657993457,57,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
2,0.8888216261350591,16,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
3,0.9483728081597386,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
4,0.7017165053282629,14,0.0,0.0,0.05263157894736842,0.1,0.42857142857142855,0.6
5,0.9314295856976531,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
6,0.8600524475524476,57,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8
7,0.8256844121637802,16,0.1111111111111111,0.2,0.3333333333333333,0.5,0.6,0.75
8,0.9377425286382701,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8
9,0.9220523240308952,37,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
10,0.9083635345722706,37,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
11,0.8778964133767869,37,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8
12,0.8314972060600894,57,0.1111111111111111,0.2,0.42857142857142855,0.6,0.6,0.75
13,0.847430348266668,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
14,0.9724650349650349,57,0.42857142857142855,0.6,0.6666666666666666,0.8,0.8181818181818182,0.9
15,0.831989783701812,57,0.1111111111111111,0.2,0.3333333333333333,0.5,0.6666666666666666,0.8
16,0.8201356041849587,16,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
17,0.8872665944981383,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.7391304347826086,0.85
18,0.9525630727285764,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8
19,0.8663835518711042,56,0.6666666666666666,0.8,0.42857142857142855,0.6,0.7391304347826086,0.85
20,0.825756838612665,57,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
21,0.8189607874503322,32,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
22,0.8203930614390034,57,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
23,0.8897172856342332,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
24,0.9317907079090187,37,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
25,0.8308324686726795,8,0.25,0.4,0.25,0.4,0.6,0.75
26,0.8935245680213959,16,0.25,0.4,0.5384615384615384,0.7,0.7391304347826086,0.85
27,0.7970775556878744,56,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
28,0.8597989072942038,37,0.25,0.4,0.17647058823529413,0.3,0.5384615384615384,0.7
29,0.8963098099389329,56,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7391304347826086,0.85
30,0.8968818125074733,37,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
31,0.8260836181079781,56,0.25,0.4,0.3333333333333333,0.5,0.6666666666666666,0.8
32,0.8624161579199424,57,0.42857142857142855,0.6,0.25,0.4,0.6,0.75
33,0.8780303350265574,56,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
34,0.8979168329475619,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
35,0.7750332235573614,32,0.1111111111111111,0.2,0.3333333333333333,0.5,0.6,0.75
36,0.8318225638665759,37,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
37,0.9433127411894343,57,1.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.8
38,0.8855927193792887,57,0.25,0.4,0.6666666666666666,0.8,0.7391304347826086,0.85
39,0.9556180308818452,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8181818181818182,0.9
40,0.8655429981664235,37,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
41,0.8950293291852651,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
42,0.8033673695631303,36,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
43,0.9434315834272302,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6,0.75
44,0.9642208537730927,8,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8181818181818182,0.9
45,0.9083978597437312,16,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
46,0.9359785080631937,37,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
47,0.9181821115639507,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
48,0.7732290467896316,16,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
49,0.8463473959130035,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
50,0.8755697289982092,8,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
51,0.852674821876973,8,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
52,0.8716026127699413,32,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6,0.75
53,0.9422938782025702,37,1.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.8
54,0.8905705488699487,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
55,0.7911036128329839,56,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
56,0.9137237762237762,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
57,0.8640235516998906,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
58,0.9534601623862611,56,1.0,1.0,0.8181818181818182,0.9,0.8181818181818182,0.9
59,0.9018191114720848,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7391304347826086,0.85
60,0.8347353240410739,37,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
61,0.8295953388139518,8,0.25,0.4,0.3333333333333333,0.5,0.6666666666666666,0.8
62,0.7062965868188466,0,0.0,0.0,0.25,0.4,0.5384615384615384,0.7
63,0.96554737882235,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.9047619047619048,0.95
64,0.8965698817558014,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
65,0.8302343293543972,16,0.42857142857142855,0.6,0.3333333333333333,0.5,0.5384615384615384,0.7
66,0.8280168961452841,57,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
67,0.8515350437000025,36,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
68,0.8948368894829446,37,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
69,0.8084444089711869,57,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
70,0.8886475866676823,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
71,0.8765487940344412,57,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
72,0.8189349526197244,37,0.25,0.4,0.25,0.4,0.6,0.75
73,0.8890174794476816,57,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
74,0.8536595099369464,8,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
75,0.9702587620737737,57,0.42857142857142855,0.6,0.8181818181818182,0.9,0.8181818181818182,0.9
76,0.9270093383350626,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
77,0.8228448819065216,37,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
78,0.8596837220364865,57,0.25,0.4,0.5384615384615384,0.7,0.7391304347826086,0.85
79,0.8097372357515865,57,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
80,0.802859826740424,8,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
81,0.9135663685611176,37,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
82,0.9239830890128438,8,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
83,0.849379864406939,56,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
84,0.9582958701937909,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7391304347826086,0.85
85,0.8542980285737093,16,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
86,0.786999040197445,32,0.1111111111111111,0.2,0.42857142857142855,0.6,0.6666666666666666,0.8
87,0.8402370279812537,56,0.42857142857142855,0.6,0.3333333333333333,0.5,0.5384615384615384,0.7
88,0.8861659257486799,37,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
89,0.8742517359725439,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
90,0.7804970183535318,8,0.25,0.4,0.25,0.4,0.5384615384615384,0.7
91,0.8162925341471746,8,0.25,0.4,0.25,0.4,0.5384615384615384,0.7
92,0.8246368755713879,36,0.1111111111111111,0.2,0.42857142857142855,0.6,0.6,0.75
93,0.8370449579253749,37,0.42857142857142855,0.6,0.25,0.4,0.5384615384615384,0.7
94,0.9261935905596012,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7391304347826086,0.85
95,0.9416425223572704,37,0.42857142857142855,0.6,0.8181818181818182,0.9,0.9047619047619048,0.95
96,0.8655182618278856,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
97,0.8646797457069886,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
98,0.7865889932971758,32,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
99,0.8104610396693914,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
100,0.9018277595977332,57,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
101,0.8889741128701412,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
102,0.8831019726542118,8,0.6666666666666666,0.8,0.8181818181818182,0.9,0.7391304347826086,0.85
103,0.8698619203448001,32,0.42857142857142855,0.6,0.6666666666666666,0.8,0.8181818181818182,0.9
104,0.7965919067762791,36,0.1111111111111111,0.2,0.25,0.4,0.6,0.75
105,0.7437043526849288,36,0.0,0.0,0.17647058823529413,0.3,0.5384615384615384,0.7
106,0.8857219341859229,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
107,0.8810486448690044,32,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8
108,0.8577529744360131,8,0.42857142857142855,0.6,0.3333333333333333,0.5,0.5384615384615384,0.7
109,0.9385633826205176,37,0.6666666666666666,0.8,0.5384615384615384,0.7,0.8181818181818182,0.9
110,0.851977561312037,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
111,0.8195253029593366,56,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
112,0.8810233009406527,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
113,0.8084516001567476,36,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
114,0.9026539292298137,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
115,0.8671175705683435,37,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6666666666666666,0.8
116,0.7364457695496605,0,0.0,0.0,0.25,0.4,0.5384615384615384,0.7
117,0.8950104461714942,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
118,0.8890303726124624,37,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8
119,0.8726578474632223,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.8181818181818182,0.9
120,0.7952348954155504,32,0.1111111111111111,0.2,0.3333333333333333,0.5,0.6,0.75
121,0.8815438400705163,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
122,0.8693359508239645,37,0.25,0.4,0.3333333333333333,0.5,0.6666666666666666,0.8
123,0.8891452242288959,57,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
124,0.7875131933033576,2,0.1111111111111111,0.2,0.25,0.4,0.5384615384615384,0.7
125,0.9258938745467772,8,0.42857142857142855,0.6,0.6666666666666666,0.8,0.8181818181818182,0.9
126,0.7623654257315888,8,0.1111111111111111,0.2,0.25,0.4,0.6,0.75
127,0.778195602252194,32,0.1111111111111111,0.2,0.25,0.4,0.5384615384615384,0.7
128,0.9433199287956844,37,0.6666666666666666,0.8,0.8181818181818182,0.9,0.7391304347826086,0.85
129,0.9356225863688551,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7391304347826086,0.85
130,0.8914485241523499,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
131,0.9064954287751545,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8181818181818182,0.9
132,0.8716178465958977,57,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6666666666666666,0.8
133,0.8366643210433279,32,0.25,0.4,0.3333333333333333,0.5,0.6666666666666666,0.8
134,0.8900366862648665,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
135,0.8335461728789211,16,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
136,0.9392210072631497,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8
137,0.8917832167832168,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
138,0.7966627352061219,16,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
139,0.9533491579118285,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8181818181818182,0.9
140,0.8327181249126565,8,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
141,0.8449924365490239,32,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
142,0.9422786300839332,8,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
143,0.845652327526477,37,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
144,0.8735072366453186,37,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6,0.75
145,0.9446248691660493,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
146,0.9303964981920239,16,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8181818181818182,0.9
147,0.791156728121548,37,0.1111111111111111,0.2,0.25,0.4,0.5384615384615384,0.7
148,0.8661750356141803,57,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
149,0.795580378368895,32,0.0,0.0,0.3333333333333333,0.5,0.6,0.75
150,0.896884541545044,37,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
151,0.7673114492218739,8,0.25,0.4,0.25,0.4,0.6,0.75
152,0.9254309568341768,57,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
153,0.9184592533067362,57,0.6666666666666666,0.8,0.42857142857142855,0.6,0.7391304347826086,0.85
154,0.8900579733770131,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
155,0.9282136315457987,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
156,0.7689400369622439,16,0.1111111111111111,0.2,0.17647058823529413,0.3,0.5384615384615384,0.7
157,0.8878072240444479,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
158,0.9127597662904192,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8181818181818182,0.9
159,0.9583270119120458,57,1.0,1.0,0.8181818181818182,0.9,0.7391304347826086,0.85
160,0.8643322953231848,57,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
161,0.8770851624231784,57,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8
162,0.938730800914378,8,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
163,0.8521883390968246,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
164,0.858228223546645,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
165,0.9205091024157861,37,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6,0.75
166,0.9162877580298286,57,0.6666666666666666,0.8,0.42857142857142855,0.6,0.7391304347826086,0.85
167,0.8380764788830124,37,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
168,0.8566192618713102,37,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
169,0.8509090230652817,8,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
170,0.971046231691555,32,0.42857142857142855,0.6,0.8181818181818182,0.9,0.8181818181818182,0.9
171,0.7740409499270866,8,0.1111111111111111,0.2,0.25,0.4,0.6,0.75
172,0.9062391471883848,57,0.42857142857142855,0.6,0.6666666666666666,0.8,0.7391304347826086,0.85
173,0.9111117033066568,37,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
174,0.8408631495757224,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
175,0.9564751176277868,57,0.6666666666666666,0.8,0.6666666666666666,0.8,0.7391304347826086,0.85
176,0.781818181818182,27,0.1111111111111111,0.2,0.3333333333333333,0.5,0.6,0.75
177,0.9077623414413277,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.8181818181818182,0.9
178,0.8001237440771275,16,0.1111111111111111,0.2,0.42857142857142855,0.6,0.6666666666666666,0.8
179,0.8295416626607826,16,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
180,0.9064171122994653,16,0.6666666666666666,0.8,0.8181818181818182,0.9,0.7391304347826086,0.85
181,0.9408987499779746,8,0.6666666666666666,0.8,0.8181818181818182,0.9,0.7391304347826086,0.85
182,0.8963123770097615,37,0.6666666666666666,0.8,0.42857142857142855,0.6,0.7391304347826086,0.85
183,0.7871534958907623,57,0.25,0.4,0.3333333333333333,0.5,0.6,0.75
184,0.928706416312608,37,0.6666666666666666,0.8,0.8181818181818182,0.9,0.8181818181818182,0.9
185,0.7834341888959918,57,0.25,0.4,0.25,0.4,0.5384615384615384,0.7
186,0.8567457791596871,57,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6666666666666666,0.8
187,0.9240745477236113,37,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6,0.75
188,0.9558504649291985,37,1.0,1.0,0.6666666666666666,0.8,0.7391304347826086,0.85
189,0.9227025469088574,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6666666666666666,0.8
190,0.8680058413682009,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
191,0.8254284698118833,32,0.25,0.4,0.25,0.4,0.6,0.75
192,0.8747488958303155,37,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
193,0.8945335529869362,57,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
194,0.8833681489451147,57,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
195,0.8263787045923816,37,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
196,0.9135789583550779,37,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
197,0.8530661774331041,8,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
198,0.9189544587171772,16,0.42857142857142855,0.6,0.5384615384615384,0.7,0.7391304347826086,0.85
199,0.8537311586975382,16,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
